requirement_id,domain,requirement,owner_path,verification_method,evidence_level,status
SYS-001,System,Support Kimi-K3 inference and a 5.6T-total-parameter design envelope,models;compiler;runtime;simulator,Model manifest and capacity model,ANALYTICAL,BASELINED
SYS-002,System,Model 32 logical NPUs with 192 GB of abstract HBM capacity per NPU,config;simulator,Capacity and address-space validation,ANALYTICAL,BASELINED
SYS-003,System,Target 50 end-to-end decode tokens per second under a declared workload configuration,simulator;deployment,Full-model performance regression,FUNCTIONAL_SIM,PROPOSED
MOD-001,Model,Support Kimi-K3 MXFP4 weight and MXFP8 activation semantics,models;compiler;rtl,Per-operator bit-exact tests,RTL_SIM,PROPOSED
CMP-001,Compiler,Support TP EP PP partitioning and weight layout,compiler,IR and generated-artifact conformance,FUNCTIONAL_SIM,PROPOSED
ISA-001,ISA,Use versioned KD-ISA binary encoding with compatibility tests,isa;specs,Assembler-disassembler round trip,FUNCTIONAL_SIM,PROPOSED
RUN-001,Runtime,Support paged KV cache and continuous batching,runtime;drivers,End-to-end serving stress test,FUNCTIONAL_SIM,PROPOSED
NPU-001,NPU,Model a 2-PFLOPS-equivalent MXFP4 by MXFP8 target under declared logical clock and initiation-interval assumptions,rtl/npu/tensor;simulator,Cycle and utilization model,ANALYTICAL,PROPOSED
NPU-002,NPU,Model at least 5 TB/s of logical HBM bandwidth per NPU,rtl/npu/dma;rtl/memory;simulator,Traffic-model saturation regression,FUNCTIONAL_SIM,PROPOSED
NPU-003,NPU,Provide a hierarchical eight-pod on-chip NoC with an analytical 1.024 TB/s middle bisection,rtl/npu/noc;simulator;verification,Topology calculation and congestion regression,ANALYTICAL,PROPOSED
NPU-004,NPU,Provision one DMA engine per pod with enough in-flight data for the declared HBM stress latency,rtl/npu/dma;rtl/memory;simulator;verification,Bandwidth-delay calculation and backpressure regression,ANALYTICAL,PROPOSED
NPU-005,NPU,Provide a per-tile vector engine and explicit special-function capacity,rtl/npu/vector;simulator,Operator demand model and cycle regression,ANALYTICAL,PROPOSED
NPU-006,NPU,Use sixteen 256 by 256 tensor arrays at a declared logical 1 GHz tensor clock,rtl/npu/tensor;simulator;verification,Checked capacity calculation and continuous-flow regression,ANALYTICAL,BASELINED
NPU-007,NPU,Commit square-GEMM descriptors atomically and derive a fixed-origin active-array prefix from matrix size,rtl/npu/scheduler;rtl/npu/compute;specs/interfaces;verification/npu/compute,Descriptor path and scheduler RTL regressions,RTL_SIM,VERIFIED
NPU-008,NPU,Provide sixteen independent 16-lane vector channels with tag-matched mixed-operator completion,rtl/npu/vector;rtl/npu/compute;verification/npu/compute,Continuous and mixed-latency vector-engine RTL regression,RTL_SIM,VERIFIED
NPU-009,NPU,Keep foundry SRAM implementation outside production RTL behind registered true-dual-port replacement contracts,rtl/npu/sram;rtl/npu/compute;specs/interfaces;verification/npu/compute,Behavioral macro-contract RTL regression,RTL_SIM,VERIFIED
NPU-010,NPU,Reduce exact PE products at Tile scope then accumulate up to 2^20 common-scale MX products per output in sixteen signed 85-bit Q32 lanes and round once to FP32,rtl/npu/tensor;rtl/npu/common;specs/interfaces;verification/npu/compute,Bit-exact PE boundary Tile reduction and K=4096 regressions,RTL_SIM,VERIFIED
NPU-011,NPU,Provide one 16 by 16 double-bank Tile GEMM array with 65536 exact-product PEs and a 256-FP32-per-cycle result boundary,rtl/npu/tensor;rtl/npu/compute;specs/interfaces;verification/npu/compute,Full-array continuous-flow issue-count and peak-output RTL regression,RTL_SIM,VERIFIED
NPU-012,NPU,Carry MX format and E8M0 scale atomically through Vector external direct-feedback and Vector-feedback routes at 256 elements per cycle without steady-state bubbles,rtl/npu/common;rtl/npu/vector;rtl/npu/compute;specs/interfaces;verification/npu/compute,Two-format feedback plus 16-channel output and Vector-coupler peak RTL regressions,RTL_SIM,VERIFIED
NPU-013,NPU,Close the mapped Tensor PE setup path at 1 GHz in the TSMC28 HPC+ SSG 0.72 V 125 C functional corner,rtl/npu/common;rtl/npu/tensor;verification/npu/compute/STA,Automated Yosys mapped-netlist and OpenSTA pre-layout regression,GENERIC_SYNTH,VERIFIED
NPU-014,NPU,Provide 8 MiB per local Tensor-A Tensor-B Vector-B and Vector-C data store and stream 256 A plus 256 B elements per cycle for a full-array GEMM,rtl/npu/sram;rtl/npu/tensor;rtl/npu/compute;specs/interfaces;verification/npu/compute,Capacity assertion and full buffer-to-executor-to-GEMM dense-stream regression,RTL_SIM,VERIFIED
NPU-015,NPU,Enforce the v0.2 descriptor ABI with MXFP4 E2M1 and MXFP8 E4M3FN only and RNE-only production conversion,rtl/npu/common;rtl/npu/scheduler;rtl/npu/compute;specs/interfaces;verification/npu/compute,Version and reserved-format rejection plus MX numeric and quantizer RTL regressions,RTL_SIM,VERIFIED
NPU-016,NPU,Bind NPU accumulator local and feedback SRAM replacement boundaries to fixed KD28 TDP and SDP cells without inferred storage,rtl/npu/sram;Library/models/kd28;verification/kd28;technology/kd28,Functional adapter RTL exact macro-count synthesis and three-corner synthetic SRAM STA,GENERIC_SYNTH,VERIFIED
NPU-017,NPU,Arbitrate sixteen DMA request channels into five elastic 128-byte HBM lanes with four QoS classes bounded age promotion and stable independent backpressure,rtl/npu/dma;specs/interfaces;verification/npu/system,Zero-warning lint five-lane saturation randomized backpressure payload stability and no-loss tag scoreboard,RTL_SIM,VERIFIED
NPU-018,NPU,Retire five HBM response lanes into sixteen elastic DMA channels by tag while preserving same-channel order and reporting malformed partitions,rtl/npu/dma;specs/interfaces;verification/npu/system,Zero-warning lint five-lane and same-channel collision regression randomized backpressure no-loss ordering error checks and mapped 1 GHz generic STA,GENERIC_SYNTH,VERIFIED
